sku,msku,panels,Status,Stauts,,image,,,,,
15694321,15694321,Rudrav Meesho,Inactive,block,,,#N/A,,,,
23654985,23654985,Rudrav Meesho,Inactive,"Combo,Paused",,,#N/A,,,,
28547595,28547595,Rudrav Meesho,Inactive,paused,,,#N/A,,,,
30258741,30258741,Rudrav Meesho,,,,,#N/A,,,,
30548764,30548764,Rudrav Meesho,Inactive,block,,,#N/A,,,,
31021652,31021652,Rudrav Meesho,Inactive,paused,,,#N/A,,,panels,COUNTA of panels
32056420,32056420,Rudrav Meesho,Inactive,block,,,#N/A,,,,0
32165478,32165478,Rudrav Meesho,Inactive,paused,,,#N/A,,,CSTE AMAZON,1536
32565434,32565434,Rudrav Meesho,,,,,#N/A,,,CSTE FK,801
32645101,32645101,Rudrav Meesho,Inactive,block,,,#N/A,,,CSTE MEESHO,1360
32654329,32654329,Rudrav Meesho,Inactive,paused,,,#N/A,,,GL FK,687
32654531,32654531,Rudrav Meesho,Inactive,block,,,#N/A,,,Rudrav Meesho,834
32758462,32758462,Rudrav Meesho,Inactive,combo paused,,,#N/A,,,Grand Total,5218
32856438,32856438,Rudrav Meesho,Inactive,block,,,#N/A,,,,
32856471,32856471,Rudrav Meesho,,,,,#N/A,,,,
34546820,34546820,Rudrav Meesho,Inactive,paused,,,#N/A,,,,
35426581,35426581,CSTE MEESHO,Inactive,combo paused,,,#N/A,,,Status,COUNTA of Status
36548700,36548700,CSTE MEESHO,,,,,#N/A,,,,0
36925846,36925846,Rudrav Meesho,Inactive,paused,,,#N/A,,,Active,3298
38254120,38254120,Rudrav Meesho,Inactive,block,,,#N/A,,,In Progress,632
38754923,38754923,Rudrav Meesho,Inactive,pause,,,#N/A,,,Inactive,951
41256820,41256820,CSTE MEESHO,Inactive,block,,,#N/A,,,Grand Total,4881
41256821,41256821,CSTE MEESHO,Inactive,block,,,#N/A,,,,
41256822,41256822,CSTE MEESHO,Inactive,block,,,#N/A,,,,
41256826,41256826,CSTE MEESHO,Inactive,block,,,#N/A,,,,
45623951,45623951,Rudrav Meesho,,,,,#N/A,,,,
45693215,45693215,Rudrav Meesho,,,,,#N/A,,,,
45696379,45696379,Rudrav Meesho,,,,,#N/A,,,,
47895126,47895126,Rudrav Meesho,Inactive,pause combo,,,#N/A,,,,
59678234,59678234,Rudrav Meesho,,,,,#N/A,,,,
74589556,74589556,Rudrav Meesho,Inactive,pause,,,#N/A,,,,
78564917,78564917,Rudrav Meesho,,,,,#N/A,,,,
320877943,320877943,Rudrav Meesho,Inactive,block,,,#N/A,,,,
967713377,967713377,CSTE MEESHO,Inactive,block,,,#N/A,,,,
1418796129,1418796129,CSTE MEESHO,Inactive,block,,,#N/A,,,,
_w-Yn7lE,_w-Yn7lE,CSTE MEESHO,,,,,#N/A,,,,
_zcafDUD,_zcafDUD,CSTE MEESHO,,,,,#N/A,,,,
-2cMV-WJ,-2cMV-WJ,CSTE MEESHO,,,,,#N/A,,,,
BTS-Mang-Chimmy,\,CSTE AMAZON,Active,Combo,,#REF!,https://m.media-amazon.com/images/I/61PQOmIZp9L.jpg,,,,
0B7-gLW3,0B7-gLW3,CSTE MEESHO,Inactive,block,,,#N/A,,,,
12,12CSTE_0046_MB_LetItGo_Black,CSTE MEESHO,,,,,#N/A,,,,
17*17_PillowCover_Maroon,17*17_PillowCover_Maroon_fba,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
