Product Name,msku,Opening Stock
Chimmy Pillow ,CSTE_0001_ST_Bts_Pillow_Chimmy,192
Tata Pillow ,CSTE_0002_ST_Bts_Pillow_Tata,0
Koya Pillow ,CSTE_0003_ST_Bts_Pillow_Koya,0
Mang Pillow ,CSTE_0004_ST_Bts_Pillow_Mang,21
Shooky Pillow ,CSTE_0005_ST_Bts_Pillow_Shooky,0
Van Pillow ,CSTE_0006_ST_Bts_Pillow_Van,49
Cooky Pillow ,CSTE_0007_ST_Bts_Pillow_Cooky,0
Rj Pillow ,CSTE_0008_ST_Bts_Pillow_Rj,0
Chimmy Long Pillow,CSTE_0009_ST_Bts_LongPillow_Chimmy,0
Tata Long Pillow,CSTE_0010_ST_Bts_LongPillow_Tata,0
Koya Long Pillow,CSTE_0011_ST_Bts_LongPillow_Koya,0
Cooky Long Pillow,CSTE_0012_ST_Bts_LongPillow_Cooky,0
HBD Red MB,CSTE_0013_MB_HBD_Red,0
HBD Brown MB,CSTE_0014_MB_HBD_Brown,386
HBD Black MB,CSTE_0015_MB_HBD_Black,343
HBD Pink MB,CSTE_0016_MB_HBD_Pink,1
HP Brown MB,CSTE_0017_MB_HP_Brown,4
HP Green MB,CSTE_0018_MB_HP_Green,0
HP Blue MB,CSTE_0019_MB_HP_Blue,0
HP Black MB,CSTE_0020_MB_HP_Black,84
Beatles Black MB,CSTE_0021_MB_Beatles_Black,4
Beatles Brown MB,CSTE_0022_MB_Beatles_Brown,0
BeautyandBeast Black MB,CSTE_0023_MB_BeautyandBeast_Black,0
BeautyandBeast Brown MB,CSTE_0024_MB_BeautyandBeast_Brown,0
Castle Brown MB,CSTE_0025_MB_Castle_Brown,0
Castle Unicorn MB,CSTE_0026_MB_Castle_Unicorn,0
Friends Black MB,CSTE_0027_MB_Friends_Black,0
Friends NewBrown MB,CSTE_0028_MB_Friends_NewBrown,0
Friends OldBrown MB,CSTE_0029_MB_Friends_OldBrown,0
Got Black MB,CSTE_0030_MB_Got_Black,0
Got Blue MB,CSTE_0031_MB_Got_Blue,0
Got Brown MB,CSTE_0032_MB_Got_Brown,0
GodFather Brown MB,CSTE_0033_MB_GodFather_Brown,0
GodFather Black MB,CSTE_0034_MB_GodFather_Black,0
GorgeousWife Brown MB,CSTE_0035_MB_Gorgeous_Brown,0
HBD White MB,CSTE_0036_MB_HBD_White,47
HBD Transparent MB,CSTE_0037_MB_HBD_Transparent,0
HP Red MB,CSTE_0038_MB_HP_Red,0
HP White MB,CSTE_0039_MB_HP_White,2
HP DarkBlue MB,CSTE_0040_MB_HP_DarkBlue,0
JurassicPark Black MB,CSTE_0041_MB_JurassicPark_Black,0
JurassicPark Brown MB,CSTE_0042_MB_JurassicPark_Brown,0
Lalaland Brown MB,CSTE_0043_MB_Lalaland_Brown,0
LaVieRose Black MB,CSTE_0044_MB_LaVienRose_Black,0
LavieRose Brown MB,CSTE_0045_MB_LavienRose_Brown,59
LetItGo Black MB,CSTE_0046_MB_LetItGo_Black,0
LetItGo Brown MB,CSTE_0047_MB_LetItGo_Brown,0
LittleStar Brown MB,CSTE_0048_MB_LittleStar_Brown,5
Littlestar BrownUnicorn MB,CSTE_0049_MB_Littlestar_BrownUnicorn,0
PinkPanther Brown MB,CSTE_0050_MB_PinkPanther_Brown,0
PinkPanther Black MB,CSTE_0051_MB_PinkPanther_Black,0
PiratesofCarribean Black MB,CSTE_0052_MB_PiratesofCarribean_Black,6
PiratesofCarribean Brown MB,CSTE_0053_MB_PiratesofCarribean_Brown,16
Starwar Black MB,CSTE_0054_MB_Starwar_Black,0
Starwar Brown MB,CSTE_0055_MB_Starwar_Brown,0
Starwar Blue MB,CSTE_0056_MB_Starwar_Blue,0
ToMyWife Brown MB,CSTE_0057_MB_ToMyWife_Brown,0
ToMyWife BrownWithPhoto MB,CSTE_0058_MB_ToMyWife_BrownWithPhoto,0
YouAreMySunshine Black MB,CSTE_0059_MB_YouAreMySunshine_Black,8
YouAreMySunshine Brown MB,CSTE_0060_MB_YouAreMySunshine_Brown,50
